"category","subcategory","gene_symbol","role","priority","notes_for_pruning","source_type","evidence_key"
"Glucose metabolism","Glycogen","PPP1R3B","Enzyme/Regulator","core","Glycogen synthesis/degradation","user_table","preexisting_user_curation"
"Glucose metabolism","Glycogen","PPP1R3C","Enzyme/Regulator","core","Glycogen synthesis/degradation","user_table","preexisting_user_curation"
"Glucose metabolism","Glycogen","PYGB","Enzyme/Regulator","core","Glycogen synthesis/degradation","user_table","preexisting_user_curation"
"Glucose metabolism","Glycogen","PYGL","Enzyme/Regulator","core","Glycogen synthesis/degradation","user_table","preexisting_user_curation"
"Glucose metabolism","Glycogen","UGP2","Enzyme/Regulator","core","Glycogen synthesis/degradation","user_table","preexisting_user_curation"
"Glucose metabolism","Glycolytic regulation","EPAS1","TF/Sensor/Enzyme","core","HIF/MYC/PDH axis","user_table","preexisting_user_curation"
"Glucose metabolism","Glycolytic regulation","HIF1A","TF/Sensor/Enzyme","core","HIF/MYC/PDH axis","user_table","preexisting_user_curation"
"Glucose metabolism","Glycolytic regulation","MYC","TF/Sensor/Enzyme","core","HIF/MYC/PDH axis","user_table","preexisting_user_curation"
"Glucose metabolism","Glycolytic regulation","PDHA1","TF/Sensor/Enzyme","core","HIF/MYC/PDH axis","user_table","preexisting_user_curation"
"Glucose metabolism","Glycolytic regulation","PDK1","TF/Sensor/Enzyme","core","HIF/MYC/PDH axis","user_table","preexisting_user_curation"
"Glucose metabolism","Hexokinases","HK1","Enzyme","core","Early glycolysis","user_table","preexisting_user_curation"
"Glucose metabolism","Hexokinases","HK2","Enzyme","core","Early glycolysis","user_table","preexisting_user_curation"
"Glucose metabolism","Lactate transport","SLC16A1","Transporter","core","MCT lactate/pyruvate transport","user_table","preexisting_user_curation"
"Glucose metabolism","Lactate transport","SLC16A3","Transporter","core","MCT lactate/pyruvate transport","user_table","preexisting_user_curation"
"Glucose metabolism","Pentose phosphate pathway","G6PD","Enzyme","core","NADPH and ribose metabolism","user_table","preexisting_user_curation"
"Glucose metabolism","Pentose phosphate pathway","PGD","Enzyme","core","NADPH and ribose metabolism","user_table","preexisting_user_curation"
"Glucose metabolism","Pentose phosphate pathway","RPE","Enzyme","core","NADPH and ribose metabolism","user_table","preexisting_user_curation"
"Glucose metabolism","Pentose phosphate pathway","RPIA","Enzyme","core","NADPH and ribose metabolism","user_table","preexisting_user_curation"
"Glucose metabolism","Pentose phosphate pathway","TALDO1","Enzyme","core","NADPH and ribose metabolism","user_table","preexisting_user_curation"
"Glucose metabolism","Pentose phosphate pathway","TKT","Enzyme","core","NADPH and ribose metabolism","user_table","preexisting_user_curation"
"Glucose metabolism","TLR/HIF glycolytic switch","AKT1","Transporter/enzyme/regulator","expanded_core","TLR activation and inflammatory macrophages increase glycolytic flux; include transport, glycolysis, lactate, pyruvate gate and HIF axis.","bibliography_expanded","Everts2014_NatImmunol;Tannahill2013_Nature"
"Glucose metabolism","TLR/HIF glycolytic switch","ALDOC","Transporter/enzyme/regulator","expanded_core","TLR activation and inflammatory macrophages increase glycolytic flux; include transport, glycolysis, lactate, pyruvate gate and HIF axis.","bibliography_expanded","Everts2014_NatImmunol;Tannahill2013_Nature"
"Glucose metabolism","TLR/HIF glycolytic switch","ENO2","Transporter/enzyme/regulator","expanded_core","TLR activation and inflammatory macrophages increase glycolytic flux; include transport, glycolysis, lactate, pyruvate gate and HIF axis.","bibliography_expanded","Everts2014_NatImmunol;Tannahill2013_Nature"
"Glucose metabolism","TLR/HIF glycolytic switch","HK3","Transporter/enzyme/regulator","expanded_core","TLR activation and inflammatory macrophages increase glycolytic flux; include transport, glycolysis, lactate, pyruvate gate and HIF axis.","bibliography_expanded","Everts2014_NatImmunol;Tannahill2013_Nature"
"Glucose metabolism","TLR/HIF glycolytic switch","IKBKE","Transporter/enzyme/regulator","expanded_core","TLR activation and inflammatory macrophages increase glycolytic flux; include transport, glycolysis, lactate, pyruvate gate and HIF axis.","bibliography_expanded","Everts2014_NatImmunol;Tannahill2013_Nature"
"Glucose metabolism","TLR/HIF glycolytic switch","PDHB","Transporter/enzyme/regulator","expanded_core","TLR activation and inflammatory macrophages increase glycolytic flux; include transport, glycolysis, lactate, pyruvate gate and HIF axis.","bibliography_expanded","Everts2014_NatImmunol;Tannahill2013_Nature"
"Glucose metabolism","TLR/HIF glycolytic switch","PDK3","Transporter/enzyme/regulator","expanded_core","TLR activation and inflammatory macrophages increase glycolytic flux; include transport, glycolysis, lactate, pyruvate gate and HIF axis.","bibliography_expanded","Everts2014_NatImmunol;Tannahill2013_Nature"
"Glucose metabolism","TLR/HIF glycolytic switch","PDK4","Transporter/enzyme/regulator","expanded_core","TLR activation and inflammatory macrophages increase glycolytic flux; include transport, glycolysis, lactate, pyruvate gate and HIF axis.","bibliography_expanded","Everts2014_NatImmunol;Tannahill2013_Nature"
"Glucose metabolism","TLR/HIF glycolytic switch","PFKFB4","Transporter/enzyme/regulator","expanded_core","TLR activation and inflammatory macrophages increase glycolytic flux; include transport, glycolysis, lactate, pyruvate gate and HIF axis.","bibliography_expanded","Everts2014_NatImmunol;Tannahill2013_Nature"
"Glucose metabolism","TLR/HIF glycolytic switch","PFKM","Transporter/enzyme/regulator","expanded_core","TLR activation and inflammatory macrophages increase glycolytic flux; include transport, glycolysis, lactate, pyruvate gate and HIF axis.","bibliography_expanded","Everts2014_NatImmunol;Tannahill2013_Nature"
"Glucose metabolism","TLR/HIF glycolytic switch","PGAM2","Transporter/enzyme/regulator","expanded_core","TLR activation and inflammatory macrophages increase glycolytic flux; include transport, glycolysis, lactate, pyruvate gate and HIF axis.","bibliography_expanded","Everts2014_NatImmunol;Tannahill2013_Nature"
"Glucose metabolism","TLR/HIF glycolytic switch","TBK1","Transporter/enzyme/regulator","expanded_core","TLR activation and inflammatory macrophages increase glycolytic flux; include transport, glycolysis, lactate, pyruvate gate and HIF axis.","bibliography_expanded","Everts2014_NatImmunol;Tannahill2013_Nature"
"Iron and heme metabolism","Iron retention/export/heme degradation","ALAS1","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Iron and heme metabolism","Iron retention/export/heme degradation","ALAS2","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Iron and heme metabolism","Iron retention/export/heme degradation","CP","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Iron and heme metabolism","Iron retention/export/heme degradation","FECH","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Iron and heme metabolism","Iron retention/export/heme degradation","FTH1","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Iron and heme metabolism","Iron retention/export/heme degradation","FTL","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Iron and heme metabolism","Iron retention/export/heme degradation","HAMP","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Iron and heme metabolism","Iron retention/export/heme degradation","HFE","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Iron and heme metabolism","Iron retention/export/heme degradation","HMOX1","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Iron and heme metabolism","Iron retention/export/heme degradation","HMOX2","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Iron and heme metabolism","Iron retention/export/heme degradation","IREB2","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Iron and heme metabolism","Iron retention/export/heme degradation","LCN2","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Iron and heme metabolism","Iron retention/export/heme degradation","NCOA4","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Iron and heme metabolism","Iron retention/export/heme degradation","SLC11A1","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Iron and heme metabolism","Iron retention/export/heme degradation","SLC11A2","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Iron and heme metabolism","Iron retention/export/heme degradation","SLC40A1","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Iron and heme metabolism","Iron retention/export/heme degradation","STEAP3","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Iron and heme metabolism","Iron retention/export/heme degradation","TFRC","Transporter/storage/enzyme","expanded_core","Macrophage polarization changes iron handling; iron metabolism shapes respiration, citrate/TCA and cytokine outputs.","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"Lipid metabolism","Cholesterol metabolism","ABCA1","TF/Enzyme/Transporter","core","Synthesis, uptake and efflux","user_table","preexisting_user_curation"
"Lipid metabolism","Cholesterol metabolism","ABCG1","TF/Enzyme/Transporter","core","Synthesis, uptake and efflux","user_table","preexisting_user_curation"
"Lipid metabolism","Cholesterol metabolism","HMGCR","TF/Enzyme/Transporter","core","Synthesis, uptake and efflux","user_table","preexisting_user_curation"
"Lipid metabolism","Cholesterol metabolism","HMGCS1","TF/Enzyme/Transporter","core","Synthesis, uptake and efflux","user_table","preexisting_user_curation"
"Lipid metabolism","Cholesterol metabolism","LDLR","TF/Enzyme/Transporter","core","Synthesis, uptake and efflux","user_table","preexisting_user_curation"
"Lipid metabolism","Cholesterol metabolism","LIPA","TF/Enzyme/Transporter","core","Synthesis, uptake and efflux","user_table","preexisting_user_curation"
"Lipid metabolism","Cholesterol metabolism","NR1H2","TF/Enzyme/Transporter","core","Synthesis, uptake and efflux","user_table","preexisting_user_curation"
"Lipid metabolism","Cholesterol metabolism","NR1H3","TF/Enzyme/Transporter","core","Synthesis, uptake and efflux","user_table","preexisting_user_curation"
"Lipid metabolism","Cholesterol metabolism","SOAT1","TF/Enzyme/Transporter","core","Synthesis, uptake and efflux","user_table","preexisting_user_curation"
"Lipid metabolism","Cholesterol metabolism","SQLE","TF/Enzyme/Transporter","core","Synthesis, uptake and efflux","user_table","preexisting_user_curation"
"Lipid metabolism","Cholesterol metabolism","SREBF2","TF/Enzyme/Transporter","core","Synthesis, uptake and efflux","user_table","preexisting_user_curation"
"Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","ACACB","Enzyme/transcriptional regulator/transporter","expanded_core","FASN/SREBP/lipid synthesis and mevalonate/cholesterol pathways are experimentally linked to macrophage activation and trained immunity.","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","APOE","Enzyme/transcriptional regulator/transporter","expanded_core","FASN/SREBP/lipid synthesis and mevalonate/cholesterol pathways are experimentally linked to macrophage activation and trained immunity.","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","CYP51A1","Enzyme/transcriptional regulator/transporter","expanded_core","FASN/SREBP/lipid synthesis and mevalonate/cholesterol pathways are experimentally linked to macrophage activation and trained immunity.","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","DHCR24","Enzyme/transcriptional regulator/transporter","expanded_core","FASN/SREBP/lipid synthesis and mevalonate/cholesterol pathways are experimentally linked to macrophage activation and trained immunity.","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","DHCR7","Enzyme/transcriptional regulator/transporter","expanded_core","FASN/SREBP/lipid synthesis and mevalonate/cholesterol pathways are experimentally linked to macrophage activation and trained immunity.","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","FDFT1","Enzyme/transcriptional regulator/transporter","expanded_core","FASN/SREBP/lipid synthesis and mevalonate/cholesterol pathways are experimentally linked to macrophage activation and trained immunity.","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","FDPS","Enzyme/transcriptional regulator/transporter","expanded_core","FASN/SREBP/lipid synthesis and mevalonate/cholesterol pathways are experimentally linked to macrophage activation and trained immunity.","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","INSIG1","Enzyme/transcriptional regulator/transporter","expanded_core","FASN/SREBP/lipid synthesis and mevalonate/cholesterol pathways are experimentally linked to macrophage activation and trained immunity.","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","INSIG2","Enzyme/transcriptional regulator/transporter","expanded_core","FASN/SREBP/lipid synthesis and mevalonate/cholesterol pathways are experimentally linked to macrophage activation and trained immunity.","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","LPL","Enzyme/transcriptional regulator/transporter","expanded_core","FASN/SREBP/lipid synthesis and mevalonate/cholesterol pathways are experimentally linked to macrophage activation and trained immunity.","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","LSS","Enzyme/transcriptional regulator/transporter","expanded_core","FASN/SREBP/lipid synthesis and mevalonate/cholesterol pathways are experimentally linked to macrophage activation and trained immunity.","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","MVD","Enzyme/transcriptional regulator/transporter","expanded_core","FASN/SREBP/lipid synthesis and mevalonate/cholesterol pathways are experimentally linked to macrophage activation and trained immunity.","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","MVK","Enzyme/transcriptional regulator/transporter","expanded_core","FASN/SREBP/lipid synthesis and mevalonate/cholesterol pathways are experimentally linked to macrophage activation and trained immunity.","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","PMVK","Enzyme/transcriptional regulator/transporter","expanded_core","FASN/SREBP/lipid synthesis and mevalonate/cholesterol pathways are experimentally linked to macrophage activation and trained immunity.","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","RXRA","Enzyme/transcriptional regulator/transporter","expanded_core","FASN/SREBP/lipid synthesis and mevalonate/cholesterol pathways are experimentally linked to macrophage activation and trained immunity.","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","SCAP","Enzyme/transcriptional regulator/transporter","expanded_core","FASN/SREBP/lipid synthesis and mevalonate/cholesterol pathways are experimentally linked to macrophage activation and trained immunity.","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","SCD5","Enzyme/transcriptional regulator/transporter","expanded_core","FASN/SREBP/lipid synthesis and mevalonate/cholesterol pathways are experimentally linked to macrophage activation and trained immunity.","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"Lipid metabolism","De novo lipogenesis FAS","ACACA","TF/Enzyme","core","Citrate to FA synthesis","user_table","preexisting_user_curation"
"Lipid metabolism","De novo lipogenesis FAS","ACLY","TF/Enzyme","core","Citrate to FA synthesis","user_table","preexisting_user_curation"
"Lipid metabolism","De novo lipogenesis FAS","ELOVL5","TF/Enzyme","core","Citrate to FA synthesis","user_table","preexisting_user_curation"
"Lipid metabolism","De novo lipogenesis FAS","ELOVL6","TF/Enzyme","core","Citrate to FA synthesis","user_table","preexisting_user_curation"
"Lipid metabolism","De novo lipogenesis FAS","FASN","TF/Enzyme","core","Citrate to FA synthesis","user_table","preexisting_user_curation"
"Lipid metabolism","De novo lipogenesis FAS","SCD","TF/Enzyme","core","Citrate to FA synthesis","user_table","preexisting_user_curation"
"Lipid metabolism","De novo lipogenesis FAS","SREBF1","TF/Enzyme","core","Citrate to FA synthesis","user_table","preexisting_user_curation"
"Lipid metabolism","Eicosanoids lipid mediators","ALOX15","Enzyme/Regulator","core","Arachidonic acid mediators","user_table","preexisting_user_curation"
"Lipid metabolism","Eicosanoids lipid mediators","ALOX5","Enzyme/Regulator","core","Arachidonic acid mediators","user_table","preexisting_user_curation"
"Lipid metabolism","Eicosanoids lipid mediators","ALOX5AP","Enzyme/Regulator","core","Arachidonic acid mediators","user_table","preexisting_user_curation"
"Lipid metabolism","Eicosanoids lipid mediators","CYP27A1","Enzyme/Regulator","core","Arachidonic acid mediators","user_table","preexisting_user_curation"
"Lipid metabolism","Eicosanoids lipid mediators","LTA4H","Enzyme/Regulator","core","Arachidonic acid mediators","user_table","preexisting_user_curation"
"Lipid metabolism","Eicosanoids lipid mediators","LTC4S","Enzyme/Regulator","core","Arachidonic acid mediators","user_table","preexisting_user_curation"
"Lipid metabolism","Eicosanoids lipid mediators","PLA2G4A","Enzyme/Regulator","core","Arachidonic acid mediators","user_table","preexisting_user_curation"
"Lipid metabolism","Eicosanoids lipid mediators","PTGES","Enzyme/Regulator","core","Arachidonic acid mediators","user_table","preexisting_user_curation"
"Lipid metabolism","Eicosanoids lipid mediators","PTGS1","Enzyme/Regulator","core","Arachidonic acid mediators","user_table","preexisting_user_curation"
"Lipid metabolism","Eicosanoids lipid mediators","PTGS2","Enzyme/Regulator","core","Arachidonic acid mediators","user_table","preexisting_user_curation"
"Lipid metabolism","FAO transcriptional regulation","PPARA","Transcription factor","core","PPAR lipid programs","user_table","preexisting_user_curation"
"Lipid metabolism","FAO transcriptional regulation","PPARD","Transcription factor","core","PPAR lipid programs","user_table","preexisting_user_curation"
"Lipid metabolism","FAO transcriptional regulation","PPARG","Transcription factor","core","PPAR lipid programs","user_table","preexisting_user_curation"
"Lipid metabolism","Fatty acid oxidation FAO","ACAA2","Enzyme/Transporter","core","Mitochondrial beta oxidation","user_table","preexisting_user_curation"
"Lipid metabolism","Fatty acid oxidation FAO","ACADM","Enzyme/Transporter","core","Mitochondrial beta oxidation","user_table","preexisting_user_curation"
"Lipid metabolism","Fatty acid oxidation FAO","ACADVL","Enzyme/Transporter","core","Mitochondrial beta oxidation","user_table","preexisting_user_curation"
"Lipid metabolism","Fatty acid oxidation FAO","ACSL1","Enzyme/Transporter","core","Mitochondrial beta oxidation","user_table","preexisting_user_curation"
"Lipid metabolism","Fatty acid oxidation FAO","ACSL3","Enzyme/Transporter","core","Mitochondrial beta oxidation","user_table","preexisting_user_curation"
"Lipid metabolism","Fatty acid oxidation FAO","ACSL4","Enzyme/Transporter","core","Mitochondrial beta oxidation","user_table","preexisting_user_curation"
"Lipid metabolism","Fatty acid oxidation FAO","CPT1A","Enzyme/Transporter","core","Mitochondrial beta oxidation","user_table","preexisting_user_curation"
"Lipid metabolism","Fatty acid oxidation FAO","CPT2","Enzyme/Transporter","core","Mitochondrial beta oxidation","user_table","preexisting_user_curation"
"Lipid metabolism","Fatty acid oxidation FAO","HADHA","Enzyme/Transporter","core","Mitochondrial beta oxidation","user_table","preexisting_user_curation"
"Lipid metabolism","Fatty acid oxidation FAO","HADHB","Enzyme/Transporter","core","Mitochondrial beta oxidation","user_table","preexisting_user_curation"
"Lipid metabolism","Fatty acid oxidation FAO","SLC25A20","Enzyme/Transporter","core","Mitochondrial beta oxidation","user_table","preexisting_user_curation"
"Lipid metabolism","Fatty acid transport","FABP4","Transporter/Regulator","core","FA/carnitine uptake","user_table","preexisting_user_curation"
"Lipid metabolism","Fatty acid transport","FABP5","Transporter/Regulator","core","FA/carnitine uptake","user_table","preexisting_user_curation"
"Lipid metabolism","Fatty acid transport","SLC22A5","Transporter/Regulator","core","FA/carnitine uptake","user_table","preexisting_user_curation"
"Lipid metabolism","Fatty acid transport","SLC27A1","Transporter/Regulator","core","FA/carnitine uptake","user_table","preexisting_user_curation"
"Lipid metabolism","Fatty acid transport","SLC27A3","Transporter/Regulator","core","FA/carnitine uptake","user_table","preexisting_user_curation"
"Lipid metabolism","Fatty acid transport","SLC27A4","Transporter/Regulator","core","FA/carnitine uptake","user_table","preexisting_user_curation"
"Lipid metabolism","Lipid uptake foam cell","CD36","Receptor/Transporter","core","Lipid uptake and oxLDL","user_table","preexisting_user_curation"
"Lipid metabolism","Lipid uptake foam cell","MSR1","Receptor/Transporter","core","Lipid uptake and oxLDL","user_table","preexisting_user_curation"
"Lipid metabolism","Lipid uptake foam cell","OLR1","Receptor/Transporter","core","Lipid uptake and oxLDL","user_table","preexisting_user_curation"
"Mitochondrial respiration","OXPHOS modules","COX6A1","Respiratory complex component","expanded_context","Include representative respiratory-chain genes because inflammatory activation and itaconate/iron alter OCR and mitochondrial respiration.","bibliography_expanded","Lampropoulou2016_CellMetab;Zhou2021_FrontImmunol"
"Mitochondrial respiration","OXPHOS modules","COX7A2","Respiratory complex component","expanded_context","Include representative respiratory-chain genes because inflammatory activation and itaconate/iron alter OCR and mitochondrial respiration.","bibliography_expanded","Lampropoulou2016_CellMetab;Zhou2021_FrontImmunol"
"Mitochondrial respiration","OXPHOS modules","NDUFS4","Respiratory complex component","expanded_context","Include representative respiratory-chain genes because inflammatory activation and itaconate/iron alter OCR and mitochondrial respiration.","bibliography_expanded","Lampropoulou2016_CellMetab;Zhou2021_FrontImmunol"
"Mitochondrial respiration","OXPHOS modules","NDUFS6","Respiratory complex component","expanded_context","Include representative respiratory-chain genes because inflammatory activation and itaconate/iron alter OCR and mitochondrial respiration.","bibliography_expanded","Lampropoulou2016_CellMetab;Zhou2021_FrontImmunol"
"Nutrient sensing and autophagy","AMPK/mTOR/autophagy/mitophagy","ATG12","Regulator","expanded_context","Nutrient sensing and autophagy/mitophagy regulate macrophage metabolic state; include as regulators rather than pathway enzymes.","bibliography_expanded","Cui2023_JTranslMed;general_autophagy_immunometabolism"
"Nutrient sensing and autophagy","AMPK/mTOR/autophagy/mitophagy","ATG16L1","Regulator","expanded_context","Nutrient sensing and autophagy/mitophagy regulate macrophage metabolic state; include as regulators rather than pathway enzymes.","bibliography_expanded","Cui2023_JTranslMed;general_autophagy_immunometabolism"
"Nutrient sensing and autophagy","AMPK/mTOR/autophagy/mitophagy","LAMP1","Regulator","expanded_context","Nutrient sensing and autophagy/mitophagy regulate macrophage metabolic state; include as regulators rather than pathway enzymes.","bibliography_expanded","Cui2023_JTranslMed;general_autophagy_immunometabolism"
"Nutrient sensing and autophagy","AMPK/mTOR/autophagy/mitophagy","LAMP2","Regulator","expanded_context","Nutrient sensing and autophagy/mitophagy regulate macrophage metabolic state; include as regulators rather than pathway enzymes.","bibliography_expanded","Cui2023_JTranslMed;general_autophagy_immunometabolism"
"Nutrient sensing and autophagy","AMPK/mTOR/autophagy/mitophagy","MLST8","Regulator","expanded_context","Nutrient sensing and autophagy/mitophagy regulate macrophage metabolic state; include as regulators rather than pathway enzymes.","bibliography_expanded","Cui2023_JTranslMed;general_autophagy_immunometabolism"
"Nutrient sensing and autophagy","AMPK/mTOR/autophagy/mitophagy","TFEB","Regulator","expanded_context","Nutrient sensing and autophagy/mitophagy regulate macrophage metabolic state; include as regulators rather than pathway enzymes.","bibliography_expanded","Cui2023_JTranslMed;general_autophagy_immunometabolism"
"Nutrient sensing and autophagy","AMPK/mTOR/autophagy/mitophagy","ULK1","Regulator","expanded_context","Nutrient sensing and autophagy/mitophagy regulate macrophage metabolic state; include as regulators rather than pathway enzymes.","bibliography_expanded","Cui2023_JTranslMed;general_autophagy_immunometabolism"
"One carbon metabolism","Serine/glycine/methionine/SAM","MTHFD1L","Enzyme/epigenetic effector","expanded_core","Serine/one-carbon metabolism supports IL1B/GSH/SAM and histone methylation in inflammatory macrophages.","bibliography_expanded","Rodriguez2019_CellMetab;Yu2019_MolCell"
"One carbon metabolism","Serine/glycine/methionine/SAM","PHGDH","Enzyme/epigenetic effector","expanded_core","Serine/one-carbon metabolism supports IL1B/GSH/SAM and histone methylation in inflammatory macrophages.","bibliography_expanded","Rodriguez2019_CellMetab;Yu2019_MolCell"
"One carbon metabolism","Serine/glycine/methionine/SAM","PSAT1","Enzyme/epigenetic effector","expanded_core","Serine/one-carbon metabolism supports IL1B/GSH/SAM and histone methylation in inflammatory macrophages.","bibliography_expanded","Rodriguez2019_CellMetab;Yu2019_MolCell"
